text,Text type
"Mislykket som provokasjon og satire
Skal ""De umoralske"" provosere oss med historien om to amoralske kjærester? 
Eller er dette en satire over en uansvarlig generasjon voksne? 
Ingen av delene lykkes for regissør Lars Daniel Krutzkoff Jacobsen. 

""De umoralske"" Regi: 
Lars Daniel Krutzkoff Jacobsen. 
Med: 
Hanne Backe-Hansen, Kjetil Krogstad Skrede, Daniel Gjerde. 
Norge 2014. 
1 time 26 minutter. 
Aldersgrense: 15 år. 
Egnethet: Ungdom/Voksen. 

Gjennom et plagsomt håndholdt kamera presenteres vi for enslig mor Camilla med fem måneder gammel baby. 
Jobben som sosialkontoret har skaffet henne, orker hun ikke fortsette med. 
Ergo rømmer hun med lille Ida og kjæresten William for å slippe unna alt mas. 

Skal vi få en ""på parti med skurkeparet""-film, en norsk versjon av Bonnie & Clyde eller Mickey og Mallory? 
Nei da. 
Det småskurken William er god for, er å egle seg innpå en tenåring som bor alene i et funkishus fordi de rike foreldrene hans har reist på ferie og/eller jobb. 

Snart har kjæresteparet gjort villaen om til et bordell med Camilla som eneste hore og tenåringen som hjelpeløst vitne. 
Det er ikke provoserende, bare teit. 

Null satirisk snert 

Hva er så poenget med denne ulidelige historien om to usympatiske lystløgnere som lurer andre og til slutt hverandre? 
Mens Krutzkoff Jacobsen strever med å bestemme seg, veksler Camillas elskovsrunder med vise— og schlager-sang av typen ""Nei gut, no må du sitta pent til bords"" og ""Et minne dypt i hjertet mitt jeg gjemmer"", uten at dette gir det minste satirisk snert. 

Jeg skal ikke røpe slutten. 
Bare nevne at filmen i rulleteksten kalles for ""Skillingsvise fra vår tid"", ved siden av et forkomment barn. 
Jaså. 
Vil regissøren skildre foreldre som ikke fikser å ta seg av barna sine? 
Det klarte regissør Gunnar Vikene langt bedre i ""Vegas"" (2009). 

Når omtanken for de oversette barna blir så lite troverdig i ""De umoralske"", skyldes det at de fire (mannlige) manusforfatterne gjennom det meste av filmen glemmer at baby Ida ville forstyrret Camilla med stadige skrik etter ny bleie og mer melk. 

Men det ble vel for strevsomt å spille inn så trivielle scener. 
",original 6
"Mislykket med provokasjon ell satire Skal '' De umoralske `` provosere oss med historien om to amoralske kjærester ? Eller er det en satire over en uansvarlig gruppe voksne ? Ingen av delene passer for regissør Lars Daniel Krutzkoff Jacobsen . '' De umoralske `` Regi : Lars Daniel Krutzkoff Jacobsen . Med : Hanne Backe-Hansen , Kjetil Krogstad Skrede , Daniel Gjerde . Norge 2014 . Total time 26 minutter . Aldersgrense : 15 år . Kategori : Ungdom/Voksen . Med et plagsomt håndholdt kamera presenteres vi for enslig mor Camilla med fem måneder gammel datter . Jobben som sosialkontoret har skaffet henne , orker hun ikke lenger med . Ergo rømmer hun med lille Ida og kjæresten William for å slippe unna alt mas . Skal vi få en '' på parti med skurkeparet `` -film , en norsk versjon av Bonnie & Clyde eller Mickey og Mallory ? Nei da . Det småskurken William er god for , er å egle seg innpå en tenåring som bor alene i et hus fordi de rike foreldrene hans har vært på ferie og/eller jobb . Nå har de gjort huset om til et bordell med Camilla som eneste hore og tenåringen som hjelpeløst vitne . Det er ikke provoserende , men teit . Null satirisk snert Hva er så poenget med denne ulidelige historien om to usympatiske lystløgnere som lurer andre og til slutt hverandre ? Mens Krutzkoff Jacobsen strever med å bestemme seg , fortsetter Camillas elskovsrunder mellom vise— og schlager-sang av typen `` Nei gut , nå må du sitta pent til bords '' og `` Et minne dypt i hjertet mitt jeg gjemmer '' , uten at det gir den minste satirisk snert . Jeg skal ikke røpe slutten . Bare nevne at filmen i rulleteksten står for '' Skillingsvise fra vår tid `` , ved siden av et forkomment barn . Jaså . Vil du skildre foreldre som ikke fikser å ta seg av barna sine ? Det klarte regissør Gunnar Vikene langt bedre i '' Vegas `` ( 2009 ) . Når omtanken for å oversette barna blir så lite troverdig i '' Det umoralske `` , skyldes det at de to ( mannlige ) barna gjennom det meste av filmen glemmer at baby Ida ville forstyrret dem s sine skrik om ny bleie og mer melk . Men det blir vel litt strevsomt å spille inn så trivielle scener .",augmented 6
"Årets minst interessante film
Det er ikke så ofte jeg triller eneren på terningen, men «Juleblod» er årets minst interessante film. 

Juleblod 

Norge 2017 

Grøsser/komedie/skrekkfilm/thriller 

Regi: 
Reinert Kiil 

Manus: 
Reinert Kiil 

Skuespillere: 
Stig Henrik Hoff, Sondre Krogtoft Larsen, Truls Svendsen, Marte Sæteren, Jørgen Langhelle, Julia Schacht, Frank Kjosås 

Aldersgrense: 
15 år 

Reinert Kiil («Huset», «Hora») har både skrevet, regissert og produsert filmen som handler om en seriemorder som kler seg ut som nissen og dreper folk. 
Jeg forstår hva filmskaperen prøver på, jeg har sett en rekke filmer i denne sjangeren, men det er ikke bare en skikkelig skivebom – det er en total sjangerbom. 

Den er for alvorlig til å være komedie, og for latterlig til å tas seriøst. 
Og Kiils pubertale humor er ikke bare usmakelig, men direkte kvinnefiendtlig. 
Manuset er ubeskrivelig dårlig. 
Pakket full av stereotypiske og endimensjonale karakterer som gjør at det fremstår som en ufrivillig parodi. 
Og var det meningen at det skulle være en parodi mangler det som sagt en viktig hovedingrediens – humor. 

Seriemorderen må besitte noen slags magiske evner for å kunne dukke opp overalt, og forflytte seg med superfart fra et sted til et annet. 
Og bortsett fra en lege som mener morderen er ren ondskap, presenteres det ingen interessant bakhistorie for seriemorderen. 

Kiil klarer heller ikke å skape en karakter vi kan heie på, noe som er nødvendig for å orke å se hele blodbadet til siste slutt. 
For hvis en ikke bryr seg om hvem som blir drept, hva er da poenget? 
",original 7
"Årets minst interessante film Det er ikke så ofte jeg triller eneren i terningen , men « Juleblod » er årets minst interessante film . Juleblod Norge 2017 Grøsser/komedie/skrekkfilm/thriller Regi : Reinert Kiil Manus : Reinert Kiil Med : Stig Henrik Hoff , Sondre Krogtoft Larsen , Truls Svendsen , Marte Sæteren , Jørgen Langhelle , Julia Schacht , Frank Kjosås Alder : 15 år Reinert Kiil ( « Huset » , « Hora » ) har både skrevet , regi og laget filmen som handler om en mann som kler seg ut som nissen og dreper folk . Jeg forstår hva filmskaperen prøver på , jeg har sett en rekke filmer i denne serien , men dette er ikke bare en skikkelig film – det er en total sjangerbom . Den er for alvorlig til å være komedie , og for latterlig til å være alvorlig . Og Kiils pubertale humor er ikke bare usmakelig , men også kvinnefiendtlig . Manuset er ubeskrivelig dårlig . Pakket full av stereotypiske og endimensjonale karakterer som gjør at det fremstår som en ufrivillig parodi . Og var det meningen at det skulle være en parodi mangler der som sagt en viktig hovedingrediens – humor . Seriemorderen må besitte en slags magiske evner for å kunne dukke opp overalt , og bevege seg med superfart fra et sted til et annet . Men ut fra en lege som mener morderen er ren ondskap , er det ingen interessant bakhistorie for seriemorderen . Kiil klarer heller ikke å skape en karakter vi kan stole på , noe som er nødvendig for å orke å følge hele blodbadet til siste slutt . For hvis en ikke bry seg om hvem som blir drept , hva er da poenget ?",augmented 7
"Provoserende lite erotisk
Er det fordi boka er så dårlig at forfatteren av denne erotiske romanen må være anonym? 

Arve Juritzens siste forsøk på å få oppmerksomhet er en roman full av sex, skrevet av det som angivelig skal være en velkjent norsk kulturpersonlighet. 
Den handler om Alfred Åsen, en helt vanlig norsk lærer som bestemmer seg for å prøve ut nettdating. 
Men i stedet for famlende blind dates, blir han kjent med Kitty, en velstående, mystisk og erfaren kvinne som vil lære ham opp i «elskovens kunst». 
Hun gir ham en rekke oppgaver, som han skal utføre med andre kvinner, før han avlegger rapport til Kitty. 

I bunn kan man skimte en fortelling om en mann som forsøker å utfordre sitt forsiktige selv. 
Men først og fremst er dette en roman fylt med flaue sexskildringer. 

Opplæringen omfatter sex i alt fra naturen til Ibsenmuseet og en sexklubb i Hellas, og alt er beskrevet på like livløst og tørt vis. 
Metaforene er ikke bare klisjéfylte, de er dessuten alt annet enn erotiske, i ordets egentlige betydning: sanselig kjærlighet. 
Med setninger som «da jeg plantet hodet mitt i kløfta, fikk jeg følelsen av å være inne i et koselig, lite hi», blir det en fornærmelse mot sjangeren å kalle dette en erotisk roman. 

Det vulgære og plumpe blandes med husmorporno-aktige ord som «elskovstake», «svulmende lem» «teltstangen min». 
Det hele vitner om en forfatter med et fullstendig ubevisst forhold til sitt eget språk. 

Det har alltid vært gode grunner til å utgi bøker anonymt. 
Enten det har vært reell fare for sikkerhet, eller bare sosiale sanksjoner grunnet normbrudd, har forfattere i ulike tider valgt å være anonyme. 
Jens Bjørneboes «Uten en tråd» ble for eksempel skrevet som en parodisk pornografisk bok, med hensikt om å provosere til debatt – noe den også klarte – den ble til og med forbudt. 

Hva som er drivkraften bak «Kitty-rapporten» er derimot ikke så lett å si. 
I 2018 er det vel de færreste som lar seg provosere av sex i bøker. 
Det som i stedet provoserer, er hvor dårlig dette er. 
Det er ikke utenkelig at det er bokens elendige nivå som er grunn til at forfatteren har valgt å være anonym. 
",original 8
"Provoserende lite erotisk Er det fordi boka er så dårlig at forfatteren til den erotiske boka må være anonym ? Arve lands siste forsøk på å få oppmerksomhet er en bok full av sex , skrevet av en som nå skal være en velkjent norsk forfatter . Filmen handler om Alfred Åsen , en helt vanlig norsk mann som bestemmer seg for å prøve ut nettdating . Men i stedet for famlende blind e , blir han kjent med Kitty , en vakker , mystisk og erfaren kvinne som vil lære ham opp i « elskovens kunst » . Kitty gir ham en rekke oppgaver , som han skal utføre med andre kvinner , før han avlegger rapport til henne . I bunn kan man skimte en historie om en mann som forsøker å utfordre sitt forsiktige selv . Men først og fremst er dette en roman fylt med flaue sexskildringer . Opplæringen omfatter sex i alt fra naturen til Ibsenmuseet og en sexklubb i Hellas , men alt er beskrevet på like livløst som tørt vis . De er ikke bare klisjéfylte , de er også alt annet enn erotiske , i sin egentlige betydning : sanselig kjærlighet . Med setninger som « da jeg plantet hodet mitt i kløfta , fikk jeg følelse av å være inne i et koselig , lite hi » , er det en fornærmelse mot sjangeren å kalle dette en erotisk roman . Det vulgære ordet plumpe blandes med husmorporno-aktige ord som « elskovstake » , « svulmende lem » « teltstangen min » . Det hele handler om en forfatter med et fullstendig ubevisst forhold til sitt eget språk . Det har alltid vært gode muligheter til å utgi bøker anonymt . Om det har vært en fare for sikkerhet , eller bare sosiale sanksjoner grunnet normbrudd , har forfattere til ulike tider valgt å være anonyme . Jens Bjørneboes « Uten rød tråd » ble for eksempel skrevet som en parodisk politisk roman , med mål om å provosere til debatt – noe den ikke klarte – og ble til og med forbudt . Hva som er drivkraften bak « Kitty-rapporten » er derimot ikke så lett å si . I dag er det vel de fleste som lar seg provosere av sex i bøker . Det som i stedet provoserer , er hvor dårlig dette er . Det er ikke utenkelig at det er bokens elendige nivå som er grunn til at forfatteren har valgt å være anonym .",augmented 8
"Rett i glemmeboka
«Jigsaw» er åttende film i rekken om morderen og torturisten John Kramer (Toby Bell), og forhåpentligvis den siste. 

Jigsaw 

Canada/USA 2017 

Grøsser/skrekkfilm/thriller 

Regi: 
Michael Spierig, Peter Spierig 

Manus: 
Pete Goldfinger, Josh Stolberg 

Skuespillere: 
Laura Vandervoort, Tobin Bell, Callum Keith Rennie 

Aldersgrense: 
18 år 

Da «Saw» kom i 2004 kunne jeg ikke annet enn å bli fascinert, av både karakteren Jigsaw og det overraskende og kreative plottet. 
Men den åttende filmen i rekken, regissert av Spierig-brødrene («Predestination», «Daybreakers»), satte den siste spikeren i kista for det Leigh Whannell og James Wan skapte i 2004 for min del. 

Et drap som bærer Jigsaw-morderens signatur får politiet til å lure på om han virkelig er død, eller om det er en annen morder som etterlikner signaturen. 

Ellers byr filmen på lite nytt. 
Den følger stort sett den samme oppskriften som de andre filmene i serien. 
En gruppe mennesker våkner fanget i en eller annen skummel og dødelig torturfelle, og den neste måten de kan komme seg levende fra det er ved å bekjenne sine synder og følge spillets regler. 

Manuset er forferdelig tynt og strekker historien så langt at den faller helt fra hverandre. 
Skuespillerprestasjonene er på linje med de verste B-filmene, og regien likeså. 
Det er ikke en eneste scene som engasjerer, skremmer, eller overrasker, og karakteren som en gang i tiden ga meg gåsehud av verste sort, får meg nå til å gjespe. 
Denne filmen skal sporenstreks i glemmeboka. 
",original 9
"Rett fra glemmeboka « Jigsaw » er åttende filmen i serien om morderen og torturisten John Kramer ( Toby Bell ) , og forhåpentligvis den siste . Saw Canada/USA 2004 Grøsser/skrekkfilm/thriller Regi : Michael Spierig , Peter Spierig Manus : Pete Goldfinger , Josh Stolberg Med : Laura Vandervoort , Tobin Bell , Callum Keith Rennie Alder : 18 år Da « Saw » kom i 2004 kunne jeg ikke annet enn å bli overrasket , av både karakteren Jigsaw og det spennende og spennende plottet . Men den åttende filmen i serien , regissert av Wan ( « Predestination » , « Daybreakers » ) , satte den siste stein i kista for det Leigh Whannell og James Cameron skapte i 2004 for vår del . Et drap som bærer Jigsaw-morderens navn får politiet til å lure på om han virkelig er død , eller om det er en annen morder som har ham . Ellers byr filmen på lite nytt . Filmen følger stort sett den samme oppskriften som de andre filmene i serien . En gruppe mennesker er fanget i en eller annen skummel og dødelig torturfelle , og den eneste måten de kan komme seg levende fra det er ved å bekjenne sine synder og følge Guds regler . Manuset er forferdelig tynt og strekker historien så langt at den faller helt fra hverandre . Skuespillerprestasjonene er på høyde med de verste B-filmene , og regien likeså . Det er ikke en eneste scene som engasjerer , skremmer , eller gleder , og det som en gang i tiden ga meg gåsehud av verste sort , får meg nå til å gjespe . Denne filmen går gå i glemmeboka .",augmented 9
"Daude strippere råtner seint
Folk finner på titler som «Zombie strippers» for at et makkverk skal se ut som en kultfilm. 

Kultstatus betyr at menn som egentlig syns de har for mange eksamener til å bade i søppel, likevel vil se dem. 
Noen ganger bommer de skikkelig. 
Dette vanvittige vaset er blant annet skrevet (skrivd ville vært et bedre ord) av Freddie med stålklørne, og Robert Englund spiller også sjef for strippebule da regjeringsskapte zombier inntar bakrommet og smitter de profesjonelle kleskasterne med udødelighet og kjøtthunger. 

Det er mange nakne damer her og ingen handling. 
Til og med dama uten strupe stripper, og det evige liv oppsøker også kvinner som allerede er zombier, fordi er så fulle av silikon at de antakelig har samme forsvinningstid som plastposer. 
Blodet renner, men det ville være morsommere å se sein slakt av saudisk sau. 
De med desperate behov for selvinnsikt kan bruke filmen som testobjekt: 
Liker du «Zombie strippers», trenger du et fast forhold. 
Har du et fast forhold, trenger du et annet. 
",original 10
"Daude strippere råtner seint og finner på titler som « Zombie strippers » for at deres makkverk skal se ut som en kultfilm . Det er at folk som egentlig syns de har for mange eksamener til å bade i søppel , likevel vil se dem . Noen ganger bommer de skikkelig . Det vanvittige spillet er blant annet skrevet ( skrivd ville vært et bedre ord ) av mannen med stålklørne , og Robert Englund spiller også sjef for strippebule der regjeringsskapte zombier inntar byen og smitter de profesjonelle kleskasterne med udødelighet og kjøtthunger . Det er bare nakne damer her og ingen handling . Til og med dama uten strupe stripper , og det evige liv oppsøker også kvinner som allerede er zombier , fordi de så fulle av silikon at de antakelig har samme forsvinningstid som plastposer . Tiden renner , men det ville vært morsommere å se sein slakt av en sau . De med desperate behov for sex kan bruke filmen som testobjekt : Liker du « Zombie strippers » , trenger du et fast forhold . Har du et fast forhold , trenger du ikke annet .",augmented 10
"Tramp på en emoji
Har du noen gang hatt lyst til å se en film om livet inne i en smarttelefon? 
Selvsagt har du ikke det. 

Filmer kan baseres på så mangt. 
Alt fra romaner, skuespill, tegneserier og sit-coms til dataspill kan fungere. 
De kan fungere fordi filmskaperne får et univers og et sett karakterer å ta utgangspunkt i. 
Men at det også skulle være mulig å lage en severdig film om emojis – altså de teite, små symbolene folk henger på meldingene sine når de ikke klarer å uttrykke seg med ord – kan herved anses som grundig motbevist. 

""Emojifilmen"" følger en gul runding som heter Gene i hans forsøk på å bli en emoji som alle de andre emojiene. 
Ferden går gjennom en grell, absurd marerittverden av apper og levendegjorte nettroll og mobilvirus. 

""LEGO®filmen"" (2014) lyktes helt sykt mye bedre i sitt forsøk på å blande reklame med satire. 
""Innsiden ut"" (2015) lyktes helt sykt mye bedre med å gi liv til noe så abstrakt som følelser. 
""Emojifilmen"" er kun et masete, skravlete, desperat forsøk på å tjene penger på noe som er i tiden. 

Foreldre, vær så snill å ikke ta med ungene på denne filmen. 
Ikke bare risikerer dere å gjøre deres egne avkom dummere, men Sony kan også bli oppmuntret til å lage flere emojifilmer. 
",original 11
